Date,Open,High,Low,Close,Volume,Change
2023-06-29,705000,735000,696000,714000,625782,0.020000000000000018
2023-06-30,726000,760000,715000,754000,668650,0.05602240896358546
2023-07-03,772000,919000,769000,908000,2953165,0.20424403183023876
2023-07-04,917000,934000,845000,886000,1878427,-0.024229074889867808
2023-07-05,894000,958000,883000,943000,1640065,0.06433408577878108
2023-07-06,946000,982000,924000,941000,1198792,-0.0021208907741251393
2023-07-07,940000,980000,937000,980000,870911,0.04144527098831041
2023-07-10,994000,1015000,941000,965000,1105995,-0.015306122448979553
2023-07-11,974000,998000,958000,976000,718455,0.011398963730570033
2023-07-12,970000,982000,909000,920000,1120551,-0.05737704918032782
2023-07-13,908000,994000,883000,956000,1438457,0.03913043478260869
2023-07-14,967000,989000,952000,988000,671243,0.03347280334728042
2023-07-17,1003000,1015000,985000,999000,672682,0.011133603238866474
2023-07-18,1018000,1148000,1005000,1118000,1601160,0.11911911911911921
2023-07-19,1103000,1126000,1081000,1117000,733919,-0.0008944543828264262
2023-07-20,1089000,1104000,1066000,1083000,545402,-0.0304386750223814
2023-07-21,1036000,1190000,1035000,1143000,1356249,0.05540166204986141
2023-07-24,1151000,1179000,1128000,1161000,1218050,0.015748031496062964
2023-07-25,1148000,1321000,1120000,1293000,2074447,0.11369509043927639
2023-07-26,1303000,1539000,1136000,1228000,3016645,-0.050270688321732426
2023-07-27,1200000,1200000,961000,985000,2847371,-0.19788273615635177
2023-07-28,956000,1111000,935000,1104000,2058139,0.12081218274111682
2023-07-31,1136000,1224000,1125000,1207000,1331266,0.09329710144927539
